date,home_team,away_team,home_corners,away_corners,source,total_corners,over_7_5,over_8_5,over_9_5,under_10_5
1958-06-24,Brazil,France,8.0,5.0,historical:statsbomb_worldcup_corners_clean.csv,13.0,1,1,1,0
1958-06-29,Brazil,Sweden,13.0,8.0,historical:statsbomb_worldcup_corners_clean.csv,21.0,1,1,1,0
1962-05-30,Brazil,Mexico,7.0,2.0,historical:statsbomb_worldcup_corners_clean.csv,9.0,1,1,0,1
1970-06-07,Brazil,England,6.0,4.0,historical:statsbomb_worldcup_corners_clean.csv,10.0,1,1,1,1
1970-06-09,Brazil,Romania,8.0,4.0,historical:statsbomb_worldcup_corners_clean.csv,12.0,1,1,1,0
1970-06-14,Brazil,Peru,8.0,6.0,historical:statsbomb_worldcup_corners_clean.csv,14.0,1,1,1,0
1970-06-17,Brazil,Uruguay,5.0,2.0,historical:statsbomb_worldcup_corners_clean.csv,7.0,0,0,0,1
1970-06-21,Brazil,Italy,4.0,6.0,historical:statsbomb_worldcup_corners_clean.csv,10.0,1,1,1,1
1974-06-19,Netherlands,Sweden,5.0,2.0,historical:statsbomb_worldcup_corners_clean.csv,7.0,0,0,0,1
1974-06-22,German DR,Germany,3.0,10.0,historical:statsbomb_worldcup_corners_clean.csv,13.0,1,1,1,0
1974-06-26,Netherlands,Argentina,5.0,1.0,historical:statsbomb_worldcup_corners_clean.csv,6.0,0,0,0,1
1974-06-30,German DR,Netherlands,4.0,6.0,historical:statsbomb_worldcup_corners_clean.csv,10.0,1,1,1,1
1974-07-03,Netherlands,Brazil,3.0,1.0,historical:statsbomb_worldcup_corners_clean.csv,4.0,0,0,0,1
1974-07-07,Netherlands,Germany,10.0,10.0,historical:statsbomb_worldcup_corners_clean.csv,20.0,1,1,1,0
1986-06-22,Argentina,England,4.0,6.0,historical:statsbomb_worldcup_corners_clean.csv,10.0,1,1,1,1
1986-06-25,Argentina,Belgium,6.0,5.0,historical:statsbomb_worldcup_corners_clean.csv,11.0,1,1,1,0
1986-06-29,Argentina,Germany,8.0,6.0,historical:statsbomb_worldcup_corners_clean.csv,14.0,1,1,1,0
1990-06-24,Brazil,Argentina,11.0,4.0,historical:statsbomb_worldcup_corners_clean.csv,15.0,1,1,1,0
2018-06-14,Russia,Saudi Arabia,6.0,2.0,historical:statsbomb_worldcup_corners_clean.csv,8.0,1,0,0,1
2018-06-15,Egypt,Uruguay,0.0,5.0,historical:statsbomb_worldcup_corners_clean.csv,5.0,0,0,0,1
2018-06-15,Portugal,Spain,3.0,5.0,historical:statsbomb_worldcup_corners_clean.csv,8.0,1,0,0,1
2018-06-15,Morocco,Iran,5.0,2.0,historical:statsbomb_worldcup_corners_clean.csv,7.0,0,0,0,1
2018-06-16,Argentina,Iceland,10.0,2.0,historical:statsbomb_worldcup_corners_clean.csv,12.0,1,1,1,0
2018-06-16,Peru,Denmark,3.0,7.0,historical:statsbomb_worldcup_corners_clean.csv,10.0,1,1,1,1
2018-06-16,France,Australia,5.0,1.0,historical:statsbomb_worldcup_corners_clean.csv,6.0,0,0,0,1
2018-06-16,Croatia,Nigeria,6.0,4.0,historical:statsbomb_worldcup_corners_clean.csv,10.0,1,1,1,1
2018-06-17,Brazil,Switzerland,7.0,2.0,historical:statsbomb_worldcup_corners_clean.csv,9.0,1,1,0,1
2018-06-17,Costa Rica,Serbia,5.0,4.0,historical:statsbomb_worldcup_corners_clean.csv,9.0,1,1,0,1
