source,competition,season,stage,match_id,date,home_team,away_team,home_score,away_score,home_corners,away_corners,total_corners,over_7_5,over_8_5,over_9_5,over_10_5
statsbomb,FIFA U20 World Cup,1979,Final,3888787,1979-09-07,Argentina U20,Soviet Union U20,3,1,8,2,10,1,1,1,0
statsbomb,FIFA World Cup,2022,Group Stage,3857276,2022-12-01,Canada,Morocco,1,2,6,2,8,1,0,0,0
statsbomb,FIFA World Cup,2022,Group Stage,3857271,2022-11-21,England,Iran,6,2,8,0,8,1,0,0,0
statsbomb,FIFA World Cup,2022,Group Stage,3857296,2022-12-01,Croatia,Belgium,0,0,2,4,6,0,0,0,0
statsbomb,FIFA World Cup,2022,Group Stage,3857274,2022-11-25,Netherlands,Ecuador,1,1,2,5,7,0,0,0,0
statsbomb,FIFA World Cup,2022,Group Stage,3857255,2022-12-01,Japan,Spain,2,1,0,2,2,0,0,0,0
statsbomb,FIFA World Cup,2022,Group Stage,3857272,2022-11-25,England,United States,0,0,3,7,10,1,1,1,0
statsbomb,FIFA World Cup,2022,Group Stage,3857278,2022-11-29,Iran,United States,0,1,1,5,6,0,0,0,0
statsbomb,FIFA World Cup,2022,Group Stage,3857277,2022-11-23,Morocco,Croatia,0,0,0,5,5,0,0,0,0
statsbomb,FIFA World Cup,2022,Group Stage,3857273,2022-11-25,Wales,Iran,0,2,2,7,9,1,1,0,0
statsbomb,FIFA World Cup,2022,Group Stage,3857275,2022-11-30,Tunisia,France,1,0,7,8,15,1,1,1,1
statsbomb,FIFA World Cup,2022,Group Stage,3857261,2022-11-29,Wales,England,0,3,1,6,7,0,0,0,0
statsbomb,FIFA World Cup,2022,Group Stage,3857290,2022-11-24,Switzerland,Cameroon,1,0,11,5,16,1,1,1,1
statsbomb,FIFA World Cup,2022,Group Stage,3857298,2022-11-24,Portugal,Ghana,3,2,3,3,6,0,0,0,0
statsbomb,FIFA World Cup,2022,Group Stage,3857285,2022-11-21,Senegal,Netherlands,0,2,6,7,13,1,1,1,1
statsbomb,FIFA World Cup,2022,Group Stage,3857282,2022-11-21,United States,Wales,1,1,5,3,8,1,0,0,0
statsbomb,FIFA World Cup,2022,Group Stage,3857297,2022-11-26,Poland,Saudi Arabia,2,0,4,5,9,1,1,0,0
statsbomb,FIFA World Cup,2022,Group Stage,3857294,2022-11-29,Netherlands,Qatar,2,0,4,2,6,0,0,0,0
statsbomb,FIFA World Cup,2022,Group Stage,3857266,2022-11-26,France,Denmark,2,1,6,4,10,1,1,1,0
statsbomb,FIFA World Cup,2022,Group Stage,3857284,2022-11-23,Germany,Japan,1,2,6,6,12,1,1,1,1
statsbomb,FIFA World Cup,2022,Group Stage,3857254,2022-11-22,Denmark,Tunisia,0,0,11,9,20,1,1,1,1
statsbomb,FIFA World Cup,2022,Group Stage,3857265,2022-11-22,Mexico,Poland,0,0,6,5,11,1,1,1,1
statsbomb,FIFA World Cup,2022,Group Stage,3857301,2022-11-25,Qatar,Senegal,1,3,6,6,12,1,1,1,1
statsbomb,FIFA World Cup,2022,Group Stage,3857268,2022-11-23,Belgium,Canada,1,0,4,4,8,1,0,0,0
statsbomb,FIFA World Cup,2022,Group Stage,3857269,2022-11-28,Brazil,Switzerland,1,0,8,3,11,1,1,1,1
statsbomb,FIFA World Cup,2022,Quarter-finals,3869321,2022-12-09,Netherlands,Argentina,2,2,2,8,10,1,1,1,0
statsbomb,FIFA World Cup,2022,Group Stage,3857292,2022-12-01,Costa Rica,Germany,2,4,1,14,15,1,1,1,1
statsbomb,FIFA World Cup,2022,Group Stage,3857295,2022-11-27,Japan,Costa Rica,0,1,5,0,5,0,0,0,0
statsbomb,FIFA World Cup,2022,Final,3869685,2022-12-18,Argentina,France,3,3,6,5,11,1,1,1,1
statsbomb,FIFA World Cup,2022,3rd Place Final,3869684,2022-12-17,Croatia,Morocco,2,1,6,3,9,1,1,0,0
statsbomb,FIFA World Cup,2022,Group Stage,3857256,2022-12-02,Serbia,Switzerland,2,3,2,0,2,0,0,0,0
statsbomb,FIFA World Cup,2022,Round of 16,3869151,2022-12-03,Argentina,Australia,2,1,1,3,4,0,0,0,0
statsbomb,FIFA World Cup,2022,Group Stage,3857257,2022-11-30,Australia,Denmark,1,0,2,6,8,1,0,0,0
statsbomb,FIFA World Cup,2022,Group Stage,3857258,2022-11-24,Brazil,Serbia,2,0,5,4,9,1,1,0,0
statsbomb,FIFA World Cup,2022,Group Stage,3857288,2022-11-26,Tunisia,Australia,0,1,5,2,7,0,0,0,0
statsbomb,FIFA World Cup,2022,Group Stage,3857267,2022-11-29,Ecuador,Senegal,1,2,3,6,9,1,1,0,0
statsbomb,FIFA World Cup,2022,Group Stage,3857287,2022-11-24,Uruguay,South Korea,0,0,4,3,7,0,0,0,0
statsbomb,FIFA World Cup,2022,Quarter-finals,3869486,2022-12-10,Morocco,Portugal,1,0,3,9,12,1,1,1,1
statsbomb,FIFA World Cup,2022,Group Stage,3857260,2022-11-30,Saudi Arabia,Mexico,1,2,1,8,9,1,1,0,0
statsbomb,FIFA World Cup,2022,Group Stage,3857264,2022-11-30,Poland,Argentina,0,2,1,8,9,1,1,0,0
statsbomb,FIFA World Cup,2022,Group Stage,3857289,2022-11-26,Argentina,Mexico,2,0,4,2,6,0,0,0,0
statsbomb,FIFA World Cup,2022,Round of 16,3869254,2022-12-06,Portugal,Switzerland,6,1,6,6,12,1,1,1,1
statsbomb,FIFA World Cup,2022,Round of 16,3869118,2022-12-04,England,Senegal,3,0,3,3,6,0,0,0,0
statsbomb,FIFA World Cup,2022,Semi-finals,3869519,2022-12-13,Argentina,Croatia,3,0,2,4,6,0,0,0,0
statsbomb,FIFA World Cup,2022,Quarter-finals,3869354,2022-12-10,England,France,1,2,5,2,7,0,0,0,0
statsbomb,FIFA World Cup,2022,Semi-finals,3869552,2022-12-14,France,Morocco,2,0,2,3,5,0,0,0,0
statsbomb,FIFA World Cup,2022,Quarter-finals,3869420,2022-12-09,Croatia,Brazil,1,1,3,7,10,1,1,1,0
statsbomb,FIFA World Cup,2022,Round of 16,3869220,2022-12-06,Morocco,Spain,0,0,0,8,8,1,0,0,0
statsbomb,FIFA World Cup,2022,Round of 16,3869219,2022-12-05,Japan,Croatia,1,1,8,5,13,1,1,1,1
statsbomb,FIFA World Cup,2022,Round of 16,3869253,2022-12-05,Brazil,South Korea,4,1,5,4,9,1,1,0,0
statsbomb,FIFA World Cup,2022,Round of 16,3869152,2022-12-04,France,Poland,3,1,7,1,8,1,0,0,0
statsbomb,FIFA World Cup,2022,Round of 16,3869117,2022-12-03,Netherlands,United States,3,1,4,5,9,1,1,0,0
statsbomb,FIFA World Cup,2022,Group Stage,3857270,2022-11-28,Portugal,Uruguay,2,0,6,2,8,1,0,0,0
