date,home_team,away_team,stage,neutral,score90_home,score90_away,score_full_home,score_full_away,qualified_team,extra_time,stats_scope_minutes,home_corners_90,away_corners_90,home_corners_full,away_corners_full,home_shots_90,away_shots_90,home_sot_90,away_sot_90,home_shots_full,away_shots_full,home_sot_full,away_sot_full,home_possession,away_possession,home_xg,away_xg,home_passes,away_passes,home_passes_complete,away_passes_complete,home_crosses,away_crosses,home_ball_progressions,away_ball_progressions,source_url,report_file
2026-06-28,South Africa,Canada,Round of 32,True,0,1,0,1,Canada,False,90,1,4,1,4,6,12,1,7,6,12,1,7,55.8,35.6,0.16,1.33,575,390,486,314,5,14,25,29,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M73-RSA-V-CAN.pdf,PMSR-M73-RSA-V-CAN.pdf
2026-06-29,Brazil,Japan,Round of 32,True,2,1,2,1,Brazil,False,90,6,2,6,2,19,5,7,2,19,5,7,2,61.6,30.3,2.12,0.26,715,330,652,279,30,12,23,12,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M76-BRA-V-JPN.pdf,PMSR-M76-BRA-V-JPN.pdf
2026-06-29,Germany,Paraguay,Round of 32,True,,,1,1,,True,120,,,16,6,13,6,2,3,21,7,6,3,65.5,23.7,1.25,0.61,834,264,752,166,52,20,46,28,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M74-GER-V-PAR-V2.pdf,PMSR-M74-GER-V-PAR-V2.pdf
2026-06-29,Netherlands,Morocco,Round of 32,True,,,1,1,,True,120,,,5,8,6,10,2,4,6,11,2,5,31.1,61.4,0.33,1.3,395,891,307,813,10,19,19,26,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M75-NED-V-MAR.pdf,PMSR-M75-NED-V-MAR.pdf
2026-06-30,Côte d'Ivoire,Norway,Round of 32,True,1,2,1,2,Norway,False,90,14,3,14,3,14,9,5,4,14,9,5,4,41.3,50.2,1.43,2.3,406,492,353,442,33,15,27,36,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M78-CIV-V-NOR.pdf,PMSR-M78-CIV-V-NOR.pdf
2026-06-30,France,Sweden,Round of 32,True,3,0,3,0,France,False,90,9,1,9,1,25,8,12,3,25,8,12,3,53.5,38.0,2.9,0.71,548,365,498,296,22,11,33,16,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M77-FRA-V-SWE.pdf,PMSR-M77-FRA-V-SWE.pdf
2026-06-30,Mexico,Ecuador,Round of 32,True,2,0,2,0,Mexico,False,90,3,8,3,8,15,7,3,1,15,7,3,1,37.1,52.9,1.86,0.47,317,420,259,353,10,27,15,23,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M79-MEX-V-ECU.pdf,PMSR-M79-MEX-V-ECU.pdf
2026-07-01,Belgium,Senegal,Round of 32,True,,,3,2,Belgium,True,120,,,4,2,15,12,4,4,19,19,5,5,48.3,42.9,1.74,2.09,695,638,607,555,27,27,26,33,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M82-BEL-V-SEN.pdf,PMSR-M82-BEL-V-SEN.pdf
2026-07-01,England,Congo DR,Round of 32,True,2,1,2,1,England,False,90,5,3,5,3,16,7,7,2,16,7,7,2,53.5,37.9,1.75,0.64,523,392,482,326,42,16,41,31,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M80-ENG-V-COD.pdf,PMSR-M80-ENG-V-COD.pdf
2026-07-01,United States,Bosnia and Herzegovina,Round of 32,True,2,0,2,0,United States,False,90,4,3,4,3,8,10,2,3,8,10,2,3,44.0,47.7,0.8,0.21,425,459,362,381,19,12,31,16,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M81-USA-V-BIH.pdf,PMSR-M81-USA-V-BIH.pdf
