date,team,opponent,player,position,started,minutes,goals_90,goals_full,shots_90,shots_full,shots_on_target_90,shots_on_target_full,xg,xa,penalties_taken,set_piece_role,injury_status,source_url,report_file
2026-07-07,Colombia,Switzerland,Cucho HERNANDEZ,,,,0,0,0,1,0,0,,,,,,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M96-SUI-V-COL.pdf,PMSR-M96-SUI-V-COL.pdf
2026-07-07,Colombia,Switzerland,Davinson SANCHEZ,,,,0,0,0,1,0,0,,,,,,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M96-SUI-V-COL.pdf,PMSR-M96-SUI-V-COL.pdf
2026-07-07,Colombia,Switzerland,Gustavo PUERTA,,,,0,0,2,2,1,1,,,,,,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M96-SUI-V-COL.pdf,PMSR-M96-SUI-V-COL.pdf
2026-07-07,Colombia,Switzerland,Jaminton CAMPAZ,,,,0,0,0,2,0,1,,,,,,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M96-SUI-V-COL.pdf,PMSR-M96-SUI-V-COL.pdf
2026-07-07,Colombia,Switzerland,Jhon ARIAS,,,,0,0,1,1,0,0,,,,,,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M96-SUI-V-COL.pdf,PMSR-M96-SUI-V-COL.pdf
2026-07-07,Colombia,Switzerland,Jhon LUCUMI,,,,0,0,0,1,0,0,,,,,,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M96-SUI-V-COL.pdf,PMSR-M96-SUI-V-COL.pdf
2026-07-07,Colombia,Switzerland,Juan QUINTERO,,,,0,0,0,1,0,0,,,,,,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M96-SUI-V-COL.pdf,PMSR-M96-SUI-V-COL.pdf
2026-07-07,Colombia,Switzerland,Luis DIAZ,,,,0,0,2,3,1,1,,,,,,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M96-SUI-V-COL.pdf,PMSR-M96-SUI-V-COL.pdf
2026-07-07,Colombia,Switzerland,Luis SUAREZ,,,,0,0,2,2,0,0,,,,,,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M96-SUI-V-COL.pdf,PMSR-M96-SUI-V-COL.pdf
2026-07-07,Colombia,Switzerland,Richard RIOS,,,,0,0,0,1,0,0,,,,,,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M96-SUI-V-COL.pdf,PMSR-M96-SUI-V-COL.pdf
